time,open,high,low,close,triggerTop,triggerBottom,Setup trigger up,Symbol success up,Symbol fail up,Setup trigger down,Symbol success down,Symbol fail down,bar_index,bix_threshold,array.size(imba),Fractal High,Fractal Low,HH,LH,LL,HL,triggerTop,triggerBottom,Setup trigger up,Symbol success up,Symbol fail up,Setup trigger down,Symbol success down,Symbol fail down,Tick (Open),Tick (High,Tick (Low),Tick (Close)
1683738300,4129,4130.75,4127.5,4128.5,0,0,0,0,0,0,0,0,18580,18480,500,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,0,-588,-64,-628,-500
1683738600,4128.5,4129.5,4124.25,4127.75,0,0,0,0,0,0,0,0,18581,18481,500,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,0,-518,-104,-959,-266
1683738900,4128,4128,4124.25,4125,0,0,0,0,0,0,0,0,18582,18482,500,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,0,-276,-20,-676,-344
1683739200,4125.25,4126,4118.75,4119.25,0,0,0,0,0,0,0,0,18583,18483,500,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,0,-338,-226,-1026,-1020
1683739500,4119,4119,4113.25,4115.75,0,0,0,0,0,0,0,0,18584,18484,500,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,0,-1030,-88,-1114,-118
1683739800,4116,4119.5,4114.5,4118,0,0,0,0,0,0,0,0,18585,18485,500,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,0,-120,260,-325,22
1683740100,4118,4119.25,4112.25,4112.75,0,0,0,0,0,0,0,0,18586,18486,500,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,0,20,108,-1032,-1008
1683740400,4112.75,4116,4112.5,4115.75,0,0,0,0,0,0,0,0,18587,18487,500,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,0,-1006,68,-1012,7
1683740700,4116,4122,4114.75,4121.5,0,0,0,0,0,0,0,0,18588,18488,500,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,0,5,563,-203,391
1683741000,4121.25,4125.25,4119.25,4123,0,0,0,0,0,0,0,0,18589,18489,500,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,0,395,605,-127,195
1683741300,4123,4126.75,4122.75,4124.75,0,0,0,0,0,0,0,0,18590,18490,500,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,0,199,533,149,159
1683741600,4124.5,4129.25,4124.5,4128.75,0,0,0,0,0,0,0,0,18591,18491,500,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,0,171,583,171,255
1683741900,4128.75,4132,4128.5,4132,0,0,0,0,0,0,0,0,18592,18492,500,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,0,263,669,19,391
1683742200,4132,4135.75,4131.75,4133.75,0,0,0,0,0,0,0,0,18593,18493,500,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,0,387,729,13,25
1683742500,4134,4135.75,4133.25,4134,0,0,0,0,0,0,0,0,18594,18494,500,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,0,37,357,-55,-23
1683742800,4134.25,4134.75,4130.5,4132,0,0,0,0,0,0,0,0,18595,18495,500,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,0,-25,53,-647,-409
1683743100,4132,4136.25,4131,4134,0,0,0,0,0,0,0,0,18596,18496,500,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,0,-403,735,-525,253
1683743400,4134,4137.75,4134,4137.5,0,0,0,0,0,0,0,0,18597,18497,500,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,0,251,687,251,435
1683743700,4137.5,4140.75,4136.75,4139.25,0,0,0,0,0,0,0,0,18598,18498,500,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,0,439,723,175,349
1683744000,4139.5,4145.5,4139,4144.25,0,0,0,0,0,0,0,0,18599,18499,500,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,0,347,936,223,382
1683744300,4144.25,4146,4140,4141,0,0,0,0,0,0,0,0,18600,18500,500,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,0,388,505,-675,-430
1683744600,4141,4143.25,4140,4141.5,0,0,0,0,0,0,0,0,18601,18501,500,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,0,-428,306,-476,-266
1683744900,4141.5,4144.25,4140.75,4144,0,0,0,0,0,0,0,0,18602,18502,500,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,0,-258,314,-334,288
1683745200,4144,4144.75,4142,4144.25,0,0,0,0,0,0,0,0,18603,18503,500,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,0,292,374,-152,203
1683745500,4144.25,4147.25,4143.25,4146,0,0,0,0,0,0,0,0,18604,18504,500,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,0,223,767,37,326
1683745800,4146.25,4148.75,4145.25,4146,0,0,0,0,0,0,0,0,18605,18505,500,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,0,324,560,-401,-47
1683746100,4146.25,4150.75,4144,4150.5,0,0,0,0,0,0,0,0,18606,18506,500,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,0,-329,634,-565,614
1683746400,4150.25,4156.5,4150,4156.5,0,0,0,0,0,0,0,0,18607,18507,500,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,0,624,1112,562,688
1683746700,4156.5,4160.25,4155.75,4155.75,0,0,0,0,0,0,0,0,18608,18508,500,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,0,684,946,-276,-260
1683747000,4156,4162.5,4154.75,4159.25,0,0,0,0,0,0,0,0,18609,18509,500,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,0,-254,861,-469,25
1683747300,4159.25,4160.5,4157.25,4158.5,0,0,0,0,0,0,0,0,18610,18510,500,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,0,-3,347,-309,200
1683747600,4158.5,4160,4158,4158.25,0,0,0,0,0,0,0,0,18611,18511,500,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,0,194,552,-119,-79
1683747900,4158,4160.25,4156.25,4157.5,0,0,0,0,0,0,0,0,18612,18512,500,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,0,-85,777,-439,1
1683748200,4157.75,4157.75,4150.5,4153.5,0,0,0,0,0,0,0,0,18613,18513,500,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,0,-23,725,-751,657
